graph_name,fitness_value,RDN,difference,comparison
bp_1000,246,560,314,better
bp_1200,235,369,134,better
bp_200,278,411,133,better
bcsstk19,258,388,130,better
dwt_918,240,362,122,better
bp_1400,242,363,121,better
fs_541_1,2,122,120,better
nos7,300,419,119,better
can_838,181,294,113,better
bp_1600,232,344,112,better
bp_400,271,381,110,better
bp_800,250,359,109,better
gre_512,195,300,105,better
jagmesh1,356,457,101,better
bp_600,264,363,99,better
pores_3,195,284,89,better
bp_0,311,399,88,better
impcol_d,156,229,73,better
nos3,151,222,71,better
bcsstm07,86,156,70,better
gr_30_30,265,335,70,better
west0479,166,234,68,better
orsirr_2,349,411,62,better
bcspwr04,119,179,60,better
bcspwr05,246,306,60,better
dwt_503,117,177,60,better
can_715,157,211,54,better
dwt_992,146,199,53,better
can_445,126,177,51,better
gre_343,134,185,51,better
dwt_592,164,213,49,better
str_200,130,177,47,better
hor_131,112,158,46,better
nos5,133,177,44,better
can_268,40,83,43,better
can_256,42,85,43,better
dwt_878,262,301,39,better
bcsstk06,84,123,39,better
impcol_a,83,115,32,better
dwt_419,129,161,32,better
lns_131,66,94,28,better
gre_216a,86,113,27,better
dwt_310,95,122,27,better
bcspwr03,62,88,26,better
bcsstk02,2,28,26,better
fs_183_1,44,70,26,better
impcol_c,45,71,26,better
dwt_361,110,135,25,better
can_144,24,48,24,better
saylr1,122,146,24,better
can_229,75,99,24,better
dwt_234,117,140,23,better
nnc261,112,135,23,better
impcol_e,52,75,23,better
steam2,72,94,22,better
can_187,51,70,19,better
can_292,66,85,19,better
gre_185,65,83,18,better
bcsstk05,29,47,18,better
gent113,45,62,17,better
gre_115,51,68,17,better
dwt_209,62,79,17,better
can_161,42,58,16,better
ash85,32,48,16,better
bcsstk22,65,80,15,better
dwt_245,111,126,15,better
west0132,46,60,14,better
dwt_221,66,80,14,better
dwt_162,55,69,14,better
bcspwr02,27,40,13,better
dwt_193,27,40,13,better
will199,67,80,13,better
west0167,57,69,12,better
dwt_59,28,39,11,better
bcsstk01,13,24,11,better
nos1,141,150,9,better
bfw62a,22,31,9,better
dwt_87,30,39,9,better
steam1,42,51,9,better
nos1,141,150,9,better
curtis54,20,28,8,better
can_62,36,44,8,better
bfw62b,30,38,8,better
nos4,44,52,8,better
can_96,25,33,8,better
bcsstk04,17,25,8,better
fs_760_1,226,233,7,better
pores_1,8,13,5,better
bcspwr01,23,28,5,better
can_73,34,39,5,better
mbeause,3,8,5,better
steam3,14,18,4,better
impcol_b,18,22,4,better
dwt_66,29,33,4,better
can_61,15,18,3,better
dwt_72,46,49,3,better
mbeaflw,8,10,2,better
ibm32,13,15,2,better
mcca,65,67,2,better
west0655,220,222,2,better
mcfe,90,92,2,better
will57,18,19,1,better
mbeacxc,8,9,1,better
sherman4,796,489,-307,worse
sherman1,655,495,-160,worse
shl_200,177,48,-129,worse
lns_511,232,115,-117,worse
west0989,313,202,-111,worse
saylr3,657,555,-102,worse
nnc666,278,189,-89,worse
fs_680_1,337,256,-81,worse
nos2,580,509,-71,worse
ash292,89,43,-46,worse
jpwh_991,385,361,-24,worse
